,ons_item_name,period,CLIP
83,"apple cider, bottle, 4.5%-5.5% abv",201603.0,98.03337290035705
84,"apple cider, bottle, 4.5%-5.5% abv",201604.0,98.1558031851416
85,"apple cider, bottle, 4.5%-5.5% abv",201605.0,98.39435876506934
86,"apple cider, bottle, 4.5%-5.5% abv",201606.0,98.80040058706659
87,"apple cider, bottle, 4.5%-5.5% abv",201607.0,98.82267536851882
88,"apple cider, bottle, 4.5%-5.5% abv",201608.0,98.24131317355061
89,"apple cider, bottle, 4.5%-5.5% abv",201609.0,97.88747851156532
90,"apple cider, bottle, 4.5%-5.5% abv",201610.0,95.57795826118944
91,"apple cider, bottle, 4.5%-5.5% abv",201611.0,95.63745863575294
92,"apple cider, bottle, 4.5%-5.5% abv",201612.0,96.42382824600575
93,"apple cider, bottle, 4.5%-5.5% abv",201613.0,96.1512187943158
94,"apple cider, bottle, 4.5%-5.5% abv",201614.0,95.78955089691027
95,"apple cider, bottle, 4.5%-5.5% abv",201615.0,95.14501679067367
96,"apple cider, bottle, 4.5%-5.5% abv",201616.0,94.60343744717628
97,"apple cider, bottle, 4.5%-5.5% abv",201617.0,94.9213524398186
98,"apple cider, bottle, 4.5%-5.5% abv",201618.0,95.19279245699292
99,"apple cider, bottle, 4.5%-5.5% abv",201619.0,95.5108934325154
100,"apple cider, bottle, 4.5%-5.5% abv",201620.0,95.95488156861882
101,"apple cider, bottle, 4.5%-5.5% abv",201621.0,95.05907627840055
102,"apple cider, bottle, 4.5%-5.5% abv",201622.0,94.45836906569387
103,"apple cider, bottle, 4.5%-5.5% abv",201623.0,94.32164677005586
104,"apple cider, bottle, 4.5%-5.5% abv",201624.0,93.9154223882534
105,"apple cider, bottle, 4.5%-5.5% abv",201625.0,93.64881091690913
106,"apple cider, bottle, 4.5%-5.5% abv",201626.0,93.8636824719782
107,"apple cider, bottle, 4.5%-5.5% abv",201627.0,94.45918429540593
108,"apple cider, bottle, 4.5%-5.5% abv",201628.0,94.9571742066915
109,"apple cider, bottle, 4.5%-5.5% abv",201629.0,94.13830893400791
110,"apple cider, bottle, 4.5%-5.5% abv",201630.0,94.29680453701019
111,"apple cider, bottle, 4.5%-5.5% abv",201631.0,94.24617939981096
112,"apple cider, bottle, 4.5%-5.5% abv",201632.0,94.14501064818556
113,"apple cider, bottle, 4.5%-5.5% abv",201644.0,94.4790340966742
114,"apples, dessert, per kg",201423.0,100.0
115,"apples, dessert, per kg",201424.0,96.60429134662
116,"apples, dessert, per kg",201425.0,95.2751557352098
117,"apples, dessert, per kg",201426.0,99.31844754121808
118,"apples, dessert, per kg",201427.0,99.3687162354313
119,"apples, dessert, per kg",201428.0,98.99137638615322
120,"apples, dessert, per kg",201429.0,98.94121310953959
121,"apples, dessert, per kg",201430.0,98.88579906193262
122,"apples, dessert, per kg",201431.0,98.88579906193262
123,"apples, dessert, per kg",201432.0,98.88579906193262
124,"apples, dessert, per kg",201433.0,98.88579906193262
125,"apples, dessert, per kg",201434.0,98.88579906193262
126,"apples, dessert, per kg",201435.0,98.99173010561859
127,"apples, dessert, per kg",201436.0,97.30040125429045
128,"apples, dessert, per kg",201437.0,96.5612428517794
129,"apples, dessert, per kg",201438.0,96.5612428517794
130,"apples, dessert, per kg",201439.0,96.5612428517794
131,"apples, dessert, per kg",201440.0,96.62929285072521
132,"apples, dessert, per kg",201441.0,97.00960986684994
133,"apples, dessert, per kg",201442.0,96.94460368734629
