,i,ons_item_number,period,unit
0,6,210111.0,201501,100.0
1,7,210111.0,201502,98.75554571813159
2,8,210111.0,201503,91.7298143477084
3,9,210111.0,201504,83.5968672682997
4,10,210111.0,201505,83.79774190704116
5,11,210111.0,201506,90.8442997946864
6,12,210111.0,201507,95.71927789572264
7,13,210111.0,201508,95.87568309154484
8,14,210111.0,201509,95.87568309154484
9,15,210111.0,201510,95.65056015636772
10,16,210111.0,201511,95.6130910928506
11,17,210111.0,201512,95.82234987780413
12,18,210111.0,201513,95.85813594088012
13,19,210111.0,201514,95.0771667327994
14,20,210111.0,201515,93.65866989929636
15,21,210111.0,201516,93.30816178237009
16,22,210111.0,201517,93.00308565629014
17,23,210111.0,201518,94.29499908212058
18,24,210111.0,201519,94.46161379625889
19,25,210111.0,201520,93.92701604193824
20,26,210111.0,201521,93.62940327399825
21,27,210111.0,201522,93.57225559897499
22,28,210111.0,201523,93.57225559897499
23,29,210111.0,201524,93.65365805475679
24,30,210111.0,201525,93.55978708790073
25,31,210111.0,201526,95.1968593513451
26,32,210111.0,201527,88.52629472291284
27,33,210111.0,201528,89.64571810819221
28,34,210111.0,201529,89.50423627522616
29,35,210111.0,201530,89.3878620276748
30,36,210111.0,201531,89.61448574625152
31,37,210111.0,201532,89.53557451522182
32,38,210111.0,201533,89.19216965491597
33,0,210111.0,201534,89.2064235579281
34,1,210111.0,201535,89.3364865710612
35,2,210111.0,201536,89.55704683502145
36,3,210111.0,201537,89.30193760649526
37,4,210111.0,201538,89.57948052181213
38,5,210111.0,201539,88.6483782606744
39,39,210111.0,201540,88.53034648628565
40,40,210111.0,201541,88.91528420342011
41,41,210111.0,201542,88.25125766579113
42,42,210111.0,201543,87.72364332591631
43,43,210111.0,201545,86.8861239611165
44,44,210111.0,201546,86.63583717440417
45,45,210111.0,201547,85.98892335686341
46,46,210111.0,201548,83.92905884047774
47,47,210111.0,201549,83.92905884047774
48,48,210111.0,201550,85.1139837497421
49,49,210111.0,201551,85.12562480254593
50,50,210111.0,201552,86.59933813523404
51,51,210111.0,201601,86.89012383203534
52,0,210113.0,201501,100.0
53,1,210113.0,201502,97.97913108022227
54,2,210113.0,201503,96.87282298662028
55,3,210113.0,201504,93.36035987914573
56,4,210113.0,201505,93.49494440938561
57,5,210113.0,201506,95.57524702677169
58,48,210113.0,201507,94.43526962332994
59,6,210113.0,201508,94.7696087695505
60,7,210113.0,201509,94.61775572158773
61,8,210113.0,201510,94.69476837916034
62,9,210113.0,201511,94.69476837916034
63,10,210113.0,201512,94.7696087695505
64,11,210113.0,201513,94.99265829959938
65,49,210113.0,201514,94.87605213565759
66,50,210113.0,201515,93.0850149693569
67,12,210113.0,201516,92.5159486004363
68,13,210113.0,201517,92.13740858646833
69,14,210113.0,201518,92.78521232778806
70,15,210113.0,201519,93.00490132015848
71,16,210113.0,201520,92.76077920957866
72,17,210113.0,201521,91.63013661984486
73,18,210113.0,201522,90.67121104360896
74,19,210113.0,201523,91.49493409478853
75,20,210113.0,201524,92.79683006956894
76,21,210113.0,201525,93.36988392525402
77,22,210113.0,201526,91.4235826201124
78,23,210113.0,201527,88.35241810459836
79,24,210113.0,201528,90.30603743012882
80,25,210113.0,201529,89.93351498989036
81,26,210113.0,201530,90.05682959942344
82,27,210113.0,201531,89.71838158796238
83,28,210113.0,201532,89.58560652450362
84,29,210113.0,201533,89.63154749659407
85,30,210113.0,201534,88.68862459383888
86,31,210113.0,201535,87.89773533974731
87,32,210113.0,201536,88.24137657995121
88,33,210113.0,201537,87.94978264770727
89,34,210113.0,201538,88.60671077410439
90,35,210113.0,201539,87.95666054955247
91,36,210113.0,201540,87.73693376697813
92,37,210113.0,201541,87.61161772693097
93,38,210113.0,201542,87.35334665682272
94,39,210113.0,201543,86.91150897524021
95,40,210113.0,201545,87.10781473339048
96,41,210113.0,201546,86.45475131637542
97,42,210113.0,201547,85.63694230648487
98,43,210113.0,201548,84.68019129138861
99,44,210113.0,201549,85.02642829384483
100,45,210113.0,201550,85.3719424353825
101,46,210113.0,201551,85.12889674948909
102,47,210113.0,201552,85.92331497145666
103,51,210113.0,201601,85.35577636822902
104,47,210204.0,201501,100.0
105,48,210204.0,201502,98.52850393688472
106,49,210204.0,201503,98.09159154392826
107,50,210204.0,201504,98.7072190058662
108,22,210204.0,201505,98.37162795820792
109,23,210204.0,201506,98.41956485337607
110,24,210204.0,201507,99.16999345191086
111,25,210204.0,201508,102.3223824413017
112,26,210204.0,201509,105.96344161288546
113,6,210204.0,201510,104.72912998167763
114,7,210204.0,201511,101.95357367682527
115,8,210204.0,201512,101.55577843273107
116,9,210204.0,201513,104.20433833338998
117,10,210204.0,201514,104.95078209705736
118,27,210204.0,201515,105.07034353545149
119,11,210204.0,201516,102.39953408968732
120,12,210204.0,201517,101.53500360501147
121,13,210204.0,201518,101.51136678373567
122,14,210204.0,201519,103.31262385248117
123,15,210204.0,201520,103.87507192020928
124,28,210204.0,201521,103.58621647411059
125,29,210204.0,201522,101.66081865144656
126,30,210204.0,201523,100.55208322181942
127,31,210204.0,201524,100.5552171528952
128,32,210204.0,201525,102.58459956865565
129,33,210204.0,201526,94.3843694204837
130,34,210204.0,201527,95.83527165148989
131,16,210204.0,201528,100.80143759439207
132,17,210204.0,201529,98.27045075798547
133,18,210204.0,201530,99.26326529189538
134,19,210204.0,201531,101.93912753645154
135,20,210204.0,201532,103.68955413504757
136,35,210204.0,201533,103.08418656413663
137,36,210204.0,201534,103.3046649315211
138,37,210204.0,201535,101.17122167227734
139,38,210204.0,201536,100.88371288459102
140,39,210204.0,201537,98.01489788112939
141,0,210204.0,201538,97.3270268303446
142,1,210204.0,201539,96.09575517509172
143,2,210204.0,201540,94.429359758788
144,40,210204.0,201541,95.44426365960909
145,41,210204.0,201542,97.56989195719653
146,42,210204.0,201543,97.6372580262555
147,43,210204.0,201545,95.30649268147852
148,44,210204.0,201546,95.3327385595837
149,45,210204.0,201547,94.99920452975688
150,46,210204.0,201548,88.29857265662194
151,21,210204.0,201549,87.6009662097839
152,3,210204.0,201550,87.62305218112098
153,4,210204.0,201551,87.32732199567172
154,5,210204.0,201552,86.05685389462097
155,51,210204.0,201601,88.12505033876633
156,17,210213.0,201501,100.0
157,18,210213.0,201502,100.26936754586706
158,19,210213.0,201503,99.29382525892953
159,20,210213.0,201504,97.64749653295178
160,21,210213.0,201505,97.62289064868843
161,22,210213.0,201506,98.08248068925889
162,23,210213.0,201507,97.6349310987854
163,24,210213.0,201508,97.06615888668546
164,25,210213.0,201509,97.09243041245948
165,26,210213.0,201510,96.42827250175156
166,27,210213.0,201511,97.26344496938792
167,28,210213.0,201512,95.5976881633417
168,29,210213.0,201513,97.12158547035456
169,30,210213.0,201514,100.00954208402733
170,31,210213.0,201515,98.23937865763018
171,32,210213.0,201516,99.05375482381795
172,33,210213.0,201517,98.29509550060419
173,34,210213.0,201518,97.53822441305093
174,35,210213.0,201519,98.52219460389539
175,36,210213.0,201520,98.26615155769932
176,37,210213.0,201521,97.4146747702903
177,38,210213.0,201522,98.08999305316173
178,39,210213.0,201523,98.35891635409591
179,40,210213.0,201524,98.41722145276034
180,41,210213.0,201525,98.17052442353832
181,43,210213.0,201526,97.36803577279979
182,44,210213.0,201527,97.36803577279979
183,45,210213.0,201528,96.6182010914737
184,46,210213.0,201529,96.50972971687042
185,47,210213.0,201530,96.25187028519846
186,48,210213.0,201531,96.0643452566168
187,49,210213.0,201532,96.23454483683243
188,50,210213.0,201533,93.5607490492517
189,9,210213.0,201534,94.50459556065263
190,10,210213.0,201535,94.67672192902069
191,11,210213.0,201536,94.90318813394546
192,12,210213.0,201537,95.52247801464495
193,13,210213.0,201538,93.96296886810886
194,14,210213.0,201539,94.18033881642567
195,0,210213.0,201540,92.9856221936119
196,1,210213.0,201541,94.41511520759973
197,2,210213.0,201542,94.54992005263968
198,42,210213.0,201543,95.2472165981806
199,15,210213.0,201545,94.81298015995269
200,16,210213.0,201546,94.9429651929014
201,3,210213.0,201547,93.55927248362813
202,4,210213.0,201548,92.50881303033613
203,5,210213.0,201549,94.48732342094256
204,6,210213.0,201550,96.27931972389702
205,7,210213.0,201551,96.3812447128005
206,8,210213.0,201552,96.24465637780689
207,51,210213.0,201601,91.92019964559147
208,34,210214.0,201501,100.0
209,35,210214.0,201502,98.20933386871835
210,36,210214.0,201503,97.75726229613757
211,37,210214.0,201504,100.8664788479521
212,38,210214.0,201505,101.25030150954946
213,39,210214.0,201506,100.8240286720652
214,50,210214.0,201507,101.36691644969599
215,40,210214.0,201508,101.85022326665327
216,41,210214.0,201509,102.0000941343965
217,42,210214.0,201510,101.29709892723562
218,43,210214.0,201511,101.62172282783072
219,44,210214.0,201512,100.37658201414584
220,45,210214.0,201513,101.18272446704812
221,46,210214.0,201514,102.90407349644744
222,47,210214.0,201515,102.33596071381241
223,19,210214.0,201516,102.00211884987714
224,20,210214.0,201517,101.5870469003624
225,21,210214.0,201518,100.92957058237693
226,22,210214.0,201519,100.6849962845442
227,23,210214.0,201520,100.41793718844434
228,24,210214.0,201521,99.436644603709
229,25,210214.0,201522,100.42957294890516
230,26,210214.0,201523,100.60233299888527
231,27,210214.0,201524,100.64617741252731
232,28,210214.0,201525,100.13077073912943
233,48,210214.0,201526,98.87266222679861
234,49,210214.0,201527,98.4532288162791
235,29,210214.0,201528,97.33839467381927
236,30,210214.0,201529,96.49658335894274
237,31,210214.0,201530,96.39314185803804
238,32,210214.0,201531,97.6726917939808
239,33,210214.0,201532,98.94424466006974
240,18,210214.0,201533,96.25533575465327
241,11,210214.0,201534,97.9807935436975
242,12,210214.0,201535,98.13772590339391
243,13,210214.0,201536,97.25195556617729
244,14,210214.0,201537,96.76053774844381
245,0,210214.0,201538,94.05476145677902
246,1,210214.0,201539,93.76401618931504
247,2,210214.0,201540,94.22323524748376
248,3,210214.0,201541,96.34395389747856
249,4,210214.0,201542,97.59501672583617
250,17,210214.0,201543,98.4861560388847
251,15,210214.0,201545,97.38640069348955
252,5,210214.0,201546,97.94356352969214
253,6,210214.0,201547,96.14972684752648
254,7,210214.0,201548,93.91276231612459
255,8,210214.0,201549,94.21183651441292
256,9,210214.0,201550,95.3708818622358
257,10,210214.0,201551,95.42922027694854
258,16,210214.0,201552,95.69106565498949
259,51,210214.0,201601,92.32541726182406
260,0,210302.0,201501,100.0
261,1,210302.0,201502,100.71096482501427
262,2,210302.0,201503,100.80105475709938
263,3,210302.0,201504,99.66241387930268
264,4,210302.0,201505,99.235910565793
265,5,210302.0,201506,99.2547402153737
266,6,210302.0,201507,99.91503449900607
267,7,210302.0,201508,100.4588055639505
268,8,210302.0,201509,100.47872502490873
269,9,210302.0,201510,100.34764592292984
270,10,210302.0,201511,100.41211297712003
271,11,210302.0,201512,100.50970244401026
272,12,210302.0,201513,99.54244457567265
273,13,210302.0,201514,98.64138693296049
274,14,210302.0,201515,98.54415960503535
275,15,210302.0,201516,99.67767039852073
276,16,210302.0,201517,100.25618472426913
277,17,210302.0,201518,100.17333895070959
278,18,210302.0,201519,99.79623477222376
279,19,210302.0,201520,99.39729681828918
280,20,210302.0,201521,99.47947337220532
281,21,210302.0,201522,99.94817589338955
282,22,210302.0,201523,99.80301914605528
283,23,210302.0,201524,99.33496080361138
284,43,210302.0,201525,98.74194672472774
285,44,210302.0,201526,98.7739828015858
286,45,210302.0,201527,100.16060924399443
287,46,210302.0,201528,100.3961190335972
288,47,210302.0,201529,100.48269362064006
289,48,210302.0,201530,100.42233543331061
290,24,210302.0,201531,100.15918471172311
291,25,210302.0,201532,100.55350086715136
292,26,210302.0,201533,100.42313837685603
293,27,210302.0,201534,99.92718314881756
294,28,210302.0,201535,99.88837284223781
295,29,210302.0,201536,99.85124785496824
296,49,210302.0,201537,94.04130252406847
297,50,210302.0,201538,89.32408514177196
298,30,210302.0,201539,91.1718083362926
299,31,210302.0,201540,92.47063030861607
300,32,210302.0,201541,93.32559060117545
301,33,210302.0,201542,93.22653234299163
302,34,210302.0,201543,92.91715088650722
303,35,210302.0,201545,91.14954724579519
304,36,210302.0,201546,92.08883546525253
305,37,210302.0,201547,90.16290258313514
306,38,210302.0,201548,88.58128779091874
307,39,210302.0,201549,88.56478762457651
308,40,210302.0,201550,86.9691810489986
309,41,210302.0,201551,84.52634990802828
310,42,210302.0,201552,85.30149760286281
311,51,210302.0,201601,86.10839675231277
312,0,211305.0,201501,100.0
313,1,211305.0,201502,99.4810809592349
314,2,211305.0,201503,99.45175973376365
315,3,211305.0,201504,99.533479840435
316,4,211305.0,201505,99.23668377378941
317,5,211305.0,201506,99.21089195290888
318,6,211305.0,201507,99.11656014696821
319,7,211305.0,201508,99.06145149802839
