,Top,period,weighted_index
112,Alcoholic Drinks,201632.0,91.270589572
113,Alcoholic Drinks,201644.0,92.5532811847
114,Food and Non-Alcoholic Beverages,201423.0,98.0761971831
115,Food and Non-Alcoholic Beverages,201424.0,97.5616497957
116,Food and Non-Alcoholic Beverages,201425.0,97.1230409438
117,Food and Non-Alcoholic Beverages,201426.0,97.7006034685
118,Food and Non-Alcoholic Beverages,201427.0,97.5766435589
119,Food and Non-Alcoholic Beverages,201428.0,97.6585998523
120,Food and Non-Alcoholic Beverages,201429.0,97.4633560754
121,Food and Non-Alcoholic Beverages,201430.0,97.4033726561
122,Food and Non-Alcoholic Beverages,201431.0,97.2762292965
123,Food and Non-Alcoholic Beverages,201432.0,97.1658834897
124,Food and Non-Alcoholic Beverages,201433.0,97.3750499664
125,Food and Non-Alcoholic Beverages,201434.0,96.7958552458
126,Food and Non-Alcoholic Beverages,201435.0,96.7019041843
127,Food and Non-Alcoholic Beverages,201436.0,96.7334674289
128,Food and Non-Alcoholic Beverages,201437.0,96.8683272309
129,Food and Non-Alcoholic Beverages,201438.0,96.9289088178
130,Food and Non-Alcoholic Beverages,201439.0,97.04290143
131,Food and Non-Alcoholic Beverages,201440.0,96.9520220726
132,Food and Non-Alcoholic Beverages,201441.0,97.2339365714
133,Food and Non-Alcoholic Beverages,201442.0,97.9169679434
134,Food and Non-Alcoholic Beverages,201443.0,98.0765027377
135,Food and Non-Alcoholic Beverages,201444.0,98.2116095126
136,Food and Non-Alcoholic Beverages,201445.0,98.4633666463
137,Food and Non-Alcoholic Beverages,201446.0,98.5013198994
138,Food and Non-Alcoholic Beverages,201447.0,98.8525606512
139,Food and Non-Alcoholic Beverages,201448.0,98.7357174859
140,Food and Non-Alcoholic Beverages,201449.0,98.3227110933
141,Food and Non-Alcoholic Beverages,201450.0,98.2052715851
142,Food and Non-Alcoholic Beverages,201451.0,98.3636338332
143,Food and Non-Alcoholic Beverages,201452.0,98.0494676967
144,Food and Non-Alcoholic Beverages,201501.0,96.0378968009
