,i,ons_item_number,period,unit
0,0,210111.0,201423,100.0
1,1,210111.0,201424,100.07380645761086
2,2,210111.0,201425,99.70177755496121
3,3,210111.0,201426,99.79354364372813
4,4,210111.0,201427,99.98196747732516
5,5,210111.0,201428,99.48322947634229
6,6,210111.0,201429,99.27737681050164
7,7,210111.0,201430,99.7013641470698
8,8,210111.0,201431,99.60999900188614
9,9,210111.0,201432,99.45423655614391
10,10,210111.0,201433,98.69227695088246
11,11,210111.0,201434,98.5578021441704
12,12,210111.0,201435,99.22234485188105
13,13,210111.0,201436,98.31351884289138
14,14,210111.0,201437,97.2456076701661
15,15,210111.0,201438,97.55880253060802
16,16,210111.0,201439,98.40741491470423
17,17,210111.0,201440,99.02395507711222
18,18,210111.0,201441,99.205835176188
19,19,210111.0,201442,98.25867397045664
20,20,210111.0,201443,97.62963120071306
21,21,210111.0,201444,97.48178732688903
22,22,210111.0,201445,97.24869717525284
23,23,210111.0,201446,97.10880003621403
24,24,210111.0,201447,97.52175692785109
25,25,210111.0,201448,97.06948130768534
26,26,210111.0,201449,96.94786647565947
27,27,210111.0,201450,96.65735169632097
28,28,210111.0,201451,97.22964585389145
29,29,210111.0,201452,97.68942713087924
30,30,210111.0,201501,97.43876561786396
31,0,210113.0,201423,100.0
32,1,210113.0,201424,100.33247637586686
33,2,210113.0,201425,100.3434138528753
34,3,210113.0,201426,100.60078256425489
35,4,210113.0,201427,100.665132527685
36,5,210113.0,201428,100.2201511562432
37,6,210113.0,201429,99.79819299399134
38,7,210113.0,201430,99.6548440229154
39,8,210113.0,201431,100.0559838229381
40,9,210113.0,201432,99.96652212784757
41,10,210113.0,201433,100.2621034824004
42,11,210113.0,201434,100.31127422881332
43,12,210113.0,201435,100.1575820111037
44,13,210113.0,201436,98.57800938004576
45,14,210113.0,201437,97.8115254690311
46,15,210113.0,201438,98.3732375390869
47,16,210113.0,201439,99.6229285650572
48,17,210113.0,201440,100.044750221594
49,18,210113.0,201441,94.05832300069615
50,19,210113.0,201442,92.62858011554071
51,20,210113.0,201443,92.10929079696633
52,21,210113.0,201444,92.11982668475113
53,22,210113.0,201445,95.18380222861508
54,23,210113.0,201446,98.07372161322033
55,24,210113.0,201447,98.3265594457702
56,25,210113.0,201448,98.3157321213644
57,26,210113.0,201449,98.3157321213644
58,27,210113.0,201450,98.3157321213644
59,28,210113.0,201451,98.83038419900421
60,29,210113.0,201452,99.38413180998697
61,30,210113.0,201501,98.7444221462234
62,24,210204.0,201423,100.0
63,25,210204.0,201424,99.17046952408917
64,26,210204.0,201425,100.35192368570378
65,27,210204.0,201426,100.2901451296311
66,28,210204.0,201427,100.30151316319224
67,29,210204.0,201428,100.40388573435597
68,5,210204.0,201429,100.55761268606447
69,6,210204.0,201430,100.90088092682954
70,7,210204.0,201431,100.60736703896455
71,13,210204.0,201432,98.19329571445864
72,14,210204.0,201433,97.00683121304782
73,0,210204.0,201434,99.43146124831034
74,1,210204.0,201435,99.26344631745746
75,2,210204.0,201436,99.3522753044732
76,3,210204.0,201437,99.23958955228976
77,4,210204.0,201438,97.77592649195665
78,15,210204.0,201439,97.17981373843067
79,16,210204.0,201440,97.73775248977829
80,17,210204.0,201441,98.2269347965125
81,18,210204.0,201442,98.20381753230424
82,19,210204.0,201443,98.61318983821732
83,20,210204.0,201444,98.43602244613157
84,21,210204.0,201445,98.47583918421017
85,8,210204.0,201446,98.48727623444266
86,9,210204.0,201447,91.00036837071724
87,10,210204.0,201448,88.25458192008658
88,11,210204.0,201449,88.88344875463183
89,12,210204.0,201450,90.15363944090626
90,22,210204.0,201451,89.8660378366616
91,23,210204.0,201452,89.79571210631794
92,30,210204.0,201501,89.49929246965225
93,0,210213.0,201423,100.0
94,1,210213.0,201424,99.49900063823422
95,2,210213.0,201425,98.25032992930787
96,3,210213.0,201426,96.9055378670052
97,4,210213.0,201427,96.52292003898437
98,5,210213.0,201428,98.7435779235899
99,6,210213.0,201429,99.56796606236692
100,7,210213.0,201430,98.57184465368292
101,8,210213.0,201431,98.19890061074904
102,9,210213.0,201432,97.85051282987278
103,10,210213.0,201433,97.57337628484439
104,11,210213.0,201434,98.64894567338325
105,12,210213.0,201435,97.0752849647482
106,13,210213.0,201436,97.59887141699511
107,14,210213.0,201437,101.24503185028001
108,15,210213.0,201438,101.26493366032582
109,16,210213.0,201439,103.97029254392368
110,17,210213.0,201440,102.74942922350729
111,18,210213.0,201441,99.28088487742758
112,19,210213.0,201442,99.09905546367412
113,20,210213.0,201443,101.35669796828144
114,21,210213.0,201444,104.54757929668294
115,22,210213.0,201445,105.22955425138566
116,23,210213.0,201446,105.25915187715262
117,24,210213.0,201447,104.38371334820022
118,25,210213.0,201448,104.22163329612637
119,26,210213.0,201449,103.18972666822046
120,27,210213.0,201450,101.41114578932091
121,28,210213.0,201451,101.53041588485479
122,29,210213.0,201452,102.49030991862493
123,30,210213.0,201501,103.08232909705859
124,15,210214.0,201423,100.0
125,16,210214.0,201424,100.2613475144355
126,0,210214.0,201425,100.21107473486428
127,1,210214.0,201426,98.81674102234723
128,2,210214.0,201427,98.39764868551033
129,3,210214.0,201428,100.07347161530483
130,4,210214.0,201429,100.29137943939732
131,5,210214.0,201430,98.84936087406216
132,17,210214.0,201431,99.17572889889722
133,18,210214.0,201432,97.58154653567908
