,GEKS,ons_item_no,i,period
122,99.8830324522,210214.0,6.0,201412.0
123,99.1314709012,210214.0,7.0,201501.0
124,100.183890608,210214.0,8.0,201502.0
125,99.7378735935,210214.0,9.0,201503.0
126,100.216596639,210214.0,10.0,201504.0
127,99.1937896441,210214.0,11.0,201505.0
128,99.3330152685,210214.0,12.0,201506.0
129,96.6244729487,210214.0,13.0,201507.0
130,98.281613208,210214.0,14.0,201508.0
131,95.5196159966,210214.0,15.0,201509.0
132,97.6165572719,210214.0,16.0,201510.0
133,96.9143613645,210214.0,17.0,201511.0
134,95.8426565692,210214.0,18.0,201512.0
135,92.9500907182,210214.0,19.0,201601.0
136,95.2176600168,210214.0,20.0,201602.0
137,96.7731532731,210214.0,21.0,201603.0
138,96.0840351022,210214.0,22.0,201604.0
139,96.5567537421,210214.0,23.0,201605.0
140,95.0383643532,210214.0,24.0,201606.0
141,93.5928688316,210214.0,25.0,201607.0
142,94.1562582919,210214.0,26.0,201608.0
143,91.2545484331,210214.0,27.0,201610.0
144,91.0974494927,210214.0,28.0,201611.0
145,100.0,210302.0,0.0,201406.0
146,100.960534244,210302.0,1.0,201407.0
147,100.808363588,210302.0,2.0,201408.0
148,101.222991022,210302.0,3.0,201409.0
149,101.127091331,210302.0,4.0,201410.0
150,101.307377934,210302.0,5.0,201411.0
151,101.664628731,210302.0,6.0,201412.0
152,102.391942221,210302.0,7.0,201501.0
153,102.23355706,210302.0,8.0,201502.0
154,102.348971549,210302.0,9.0,201503.0
155,101.844085717,210302.0,10.0,201504.0
156,102.002938626,210302.0,11.0,201505.0
157,101.948697691,210302.0,12.0,201506.0
158,102.702648113,210302.0,13.0,201507.0
159,102.576226205,210302.0,14.0,201508.0
160,96.9720035878,210302.0,15.0,201509.0
161,96.4015260538,210302.0,16.0,201510.0
162,95.1979463453,210302.0,17.0,201511.0
163,90.3052913801,210302.0,18.0,201512.0
164,92.8076303435,210302.0,19.0,201601.0
165,92.332059148,210302.0,20.0,201602.0
166,92.0915569955,210302.0,21.0,201603.0
167,90.1274020919,210302.0,22.0,201604.0
168,88.4070200081,210302.0,23.0,201605.0
169,85.7895825313,210302.0,24.0,201606.0
170,85.593941062,210302.0,25.0,201607.0
171,85.3523388034,210302.0,26.0,201608.0
172,86.0338061253,210302.0,27.0,201610.0
173,86.4617928773,210302.0,28.0,201611.0
174,100.0,211305.0,0.0,201406.0
175,98.3964889205,211305.0,1.0,201407.0
176,98.7798591872,211305.0,2.0,201408.0
177,99.0534755923,211305.0,3.0,201409.0
178,98.6250983266,211305.0,4.0,201410.0
179,97.4584104705,211305.0,5.0,201411.0
180,97.6482298523,211305.0,6.0,201412.0
181,97.2182026561,211305.0,7.0,201501.0
182,96.6950091216,211305.0,8.0,201502.0
183,96.6357883827,211305.0,9.0,201503.0
184,94.512649102,211305.0,10.0,201504.0
185,97.0174597459,211305.0,11.0,201505.0
186,95.5870346192,211305.0,12.0,201506.0
187,96.0557146969,211305.0,13.0,201507.0
188,95.3023374556,211305.0,14.0,201508.0
189,96.6783099902,211305.0,15.0,201509.0
190,95.5197895681,211305.0,16.0,201510.0
191,93.5748424919,211305.0,17.0,201511.0
192,93.0172761204,211305.0,18.0,201512.0
193,93.8415157658,211305.0,19.0,201601.0
194,93.3840738085,211305.0,20.0,201602.0
195,92.5419036175,211305.0,21.0,201603.0
196,87.8786190479,211305.0,22.0,201604.0
197,92.021655951,211305.0,23.0,201605.0
198,93.5820755679,211305.0,24.0,201606.0
199,91.3490095535,211305.0,25.0,201607.0
200,92.9604157457,211305.0,26.0,201608.0
201,93.2267707453,211305.0,27.0,201610.0
