,ons_item_number,period,unit
148,210113.0,201505.0,92.321042593
149,210113.0,201506.0,94.3752253914
150,210113.0,201507.0,93.2495612918
151,210113.0,201508.0,93.5797025497
152,210113.0,201509.0,93.429756135
153,210113.0,201510.0,93.5058018387
154,210113.0,201511.0,93.5058018387
155,210113.0,201512.0,93.5797025497
156,210113.0,201513.0,93.7999515193
157,210113.0,201514.0,93.6848094365
158,210113.0,201515.0,91.9162601362
159,210113.0,201516.0,91.3543388386
160,210113.0,201517.0,90.9805516892
161,210113.0,201518.0,91.6202217502
162,210113.0,201519.0,91.8371523763
163,210113.0,201520.0,91.5960954088
164,210113.0,201521.0,90.4796489171
165,210113.0,201522.0,89.532763398
166,210113.0,201523.0,90.346143965
167,210113.0,201524.0,91.6316936222
168,210113.0,201525.0,92.1975523406
169,210113.0,201526.0,90.2756883636
170,210113.0,201527.0,87.2430847096
171,210113.0,201528.0,89.1721748235
172,210113.0,201529.0,88.8043296926
173,210113.0,201530.0,88.9260959912
174,210113.0,201531.0,88.591897458
175,210113.0,201532.0,88.4607894888
176,210113.0,201533.0,88.5061536362
177,210113.0,201534.0,87.5750698646
178,210113.0,201535.0,86.7941108409
179,210113.0,201536.0,87.1334373977
180,210113.0,201537.0,86.8455046543
181,210113.0,201538.0,87.4941845367
182,210113.0,201539.0,86.8522961988
183,210113.0,201540.0,86.635328257
184,210113.0,201541.0,86.5115856574
185,210113.0,201542.0,86.2565573817
186,210113.0,201543.0,85.8202673162
187,210113.0,201545.0,86.0141083027
188,210113.0,201546.0,85.3692446053
189,210113.0,201547.0,84.5617038242
190,210113.0,201548.0,83.616965563
191,210113.0,201549.0,83.9588552903
192,210113.0,201550.0,84.3000312328
193,210113.0,201551.0,84.0600371747
194,210113.0,201552.0,84.8444808574
195,210113.0,201601.0,84.2840681432
196,210113.0,201602.0,83.6937129692
197,210113.0,201603.0,82.8710706141
198,210113.0,201604.0,84.5906769863
199,210113.0,201605.0,84.5718280383
200,210113.0,201606.0,84.283486988
201,210113.0,201607.0,83.6382506207
202,210113.0,201608.0,82.6060360652
203,210113.0,201609.0,81.9457666201
204,210113.0,201610.0,81.742278446
205,210113.0,201611.0,80.662205833
206,210113.0,201612.0,81.1622171739
207,210113.0,201613.0,81.1622171739
208,210113.0,201614.0,81.0306023249
209,210113.0,201615.0,81.1685473676
210,210113.0,201616.0,81.2125579764
211,210113.0,201617.0,80.2352686189
212,210113.0,201618.0,79.5815729793
213,210113.0,201619.0,78.4167981942
214,210113.0,201620.0,77.9151013202
215,210113.0,201621.0,80.9778029679
216,210113.0,201622.0,80.9778029679
217,210113.0,201623.0,80.9778029679
218,210113.0,201624.0,82.1580675282
219,210113.0,201625.0,82.6349761058
220,210113.0,201626.0,82.6349761058
221,210113.0,201627.0,82.6349761058
222,210113.0,201628.0,84.2840681432
223,210113.0,201629.0,84.2840681432
224,210113.0,201630.0,84.2840681432
225,210113.0,201631.0,82.6349761058
226,210113.0,201632.0,82.6349761058
227,210113.0,201644.0,85.2466412689
228,210204.0,201423.0,100.0
229,210204.0,201424.0,99.1704695241
230,210204.0,201425.0,100.351923686
231,210204.0,201426.0,100.29014513
