,CLIP,i,ons_item_name,period
0,100.0,0,"apple cider, bottle, 4.5%-5.5% abv",201423.0
1,100.44950932317663,1,"apple cider, bottle, 4.5%-5.5% abv",201424.0
2,100.73470310348713,2,"apple cider, bottle, 4.5%-5.5% abv",201425.0
3,100.66181112806592,3,"apple cider, bottle, 4.5%-5.5% abv",201426.0
4,100.79283422205943,4,"apple cider, bottle, 4.5%-5.5% abv",201427.0
5,100.8613483124736,5,"apple cider, bottle, 4.5%-5.5% abv",201428.0
6,101.94786119065924,6,"apple cider, bottle, 4.5%-5.5% abv",201429.0
7,101.92001020596967,7,"apple cider, bottle, 4.5%-5.5% abv",201430.0
8,101.46431070161117,8,"apple cider, bottle, 4.5%-5.5% abv",201431.0
9,100.4177105931697,9,"apple cider, bottle, 4.5%-5.5% abv",201432.0
10,99.83922322430655,10,"apple cider, bottle, 4.5%-5.5% abv",201433.0
11,100.59592253397109,11,"apple cider, bottle, 4.5%-5.5% abv",201434.0
12,101.03780840438274,12,"apple cider, bottle, 4.5%-5.5% abv",201435.0
13,99.93032791602079,13,"apple cider, bottle, 4.5%-5.5% abv",201436.0
14,100.105457549017,14,"apple cider, bottle, 4.5%-5.5% abv",201437.0
15,100.93997951678733,15,"apple cider, bottle, 4.5%-5.5% abv",201438.0
16,100.39979859286888,16,"apple cider, bottle, 4.5%-5.5% abv",201439.0
17,99.92674319924933,17,"apple cider, bottle, 4.5%-5.5% abv",201440.0
18,100.36653361287766,18,"apple cider, bottle, 4.5%-5.5% abv",201441.0
19,100.20637625059298,19,"apple cider, bottle, 4.5%-5.5% abv",201442.0
20,99.86394847911804,20,"apple cider, bottle, 4.5%-5.5% abv",201443.0
21,99.77977518873517,21,"apple cider, bottle, 4.5%-5.5% abv",201444.0
22,99.01994727697297,22,"apple cider, bottle, 4.5%-5.5% abv",201445.0
23,99.48787560278956,23,"apple cider, bottle, 4.5%-5.5% abv",201446.0
24,99.93127216206142,24,"apple cider, bottle, 4.5%-5.5% abv",201447.0
25,99.57048092781079,25,"apple cider, bottle, 4.5%-5.5% abv",201448.0
26,97.70917708775659,26,"apple cider, bottle, 4.5%-5.5% abv",201449.0
27,97.62162075225575,27,"apple cider, bottle, 4.5%-5.5% abv",201450.0
28,96.90167509891033,28,"apple cider, bottle, 4.5%-5.5% abv",201451.0
29,97.21982520327079,29,"apple cider, bottle, 4.5%-5.5% abv",201452.0
30,97.40480089237829,30,"apple cider, bottle, 4.5%-5.5% abv",201501.0
31,100.0,0,"apples, dessert, per kg",201423.0
32,96.60429134662002,1,"apples, dessert, per kg",201424.0
33,95.27515573520978,2,"apples, dessert, per kg",201425.0
34,99.31844754121806,3,"apples, dessert, per kg",201426.0
35,99.3687162354313,4,"apples, dessert, per kg",201427.0
36,98.99137638615322,5,"apples, dessert, per kg",201428.0
37,98.9412131095396,6,"apples, dessert, per kg",201429.0
38,98.88579906193262,7,"apples, dessert, per kg",201430.0
39,98.88579906193262,8,"apples, dessert, per kg",201431.0
40,98.88579906193262,9,"apples, dessert, per kg",201432.0
41,98.88579906193262,10,"apples, dessert, per kg",201433.0
42,98.88579906193262,11,"apples, dessert, per kg",201434.0
43,98.99173010561861,12,"apples, dessert, per kg",201435.0
44,97.30040125429046,13,"apples, dessert, per kg",201436.0
45,96.56124285177941,14,"apples, dessert, per kg",201437.0
46,96.56124285177941,15,"apples, dessert, per kg",201438.0
47,96.56124285177941,16,"apples, dessert, per kg",201439.0
48,96.6292928507252,17,"apples, dessert, per kg",201440.0
49,97.00960986684994,18,"apples, dessert, per kg",201441.0
50,96.94460368734627,19,"apples, dessert, per kg",201442.0
51,97.00960986684994,20,"apples, dessert, per kg",201443.0
52,96.81346007219165,21,"apples, dessert, per kg",201444.0
53,97.00960986684994,22,"apples, dessert, per kg",201445.0
54,97.00960986684994,23,"apples, dessert, per kg",201446.0
55,97.00960986684994,24,"apples, dessert, per kg",201447.0
56,97.00960986684994,25,"apples, dessert, per kg",201448.0
57,97.00960986684994,26,"apples, dessert, per kg",201449.0
58,96.57517368119217,27,"apples, dessert, per kg",201450.0
