,i,ons_item_number,period,unit
0,2,210111.0,201501.0,100.0
1,3,210111.0,201502.0,96.4469363249942
2,4,210111.0,201503.0,100.79494180011008
3,5,210111.0,201504.0,103.63886496079728
4,6,210111.0,201505.0,103.61641330599842
5,7,210111.0,201506.0,100.57892481028317
6,8,210111.0,201507.0,100.42825526727653
7,0,210111.0,201508.0,99.68312874990318
8,1,210111.0,201509.0,100.23203688357181
9,9,210111.0,201510.0,99.73411301425745
10,10,210111.0,201511.0,97.48105428720548
11,11,210111.0,201512.0,97.36388376940687
12,12,210111.0,201601.0,97.82483531523292
13,0,210113.0,201501.0,100.0
14,1,210113.0,201502.0,99.217193340874
15,2,210113.0,201503.0,99.00028345609061
16,3,210113.0,201504.0,95.36386986589088
17,4,210113.0,201505.0,94.51326028031595
18,5,210113.0,201506.0,94.13187084876084
19,6,210113.0,201507.0,92.33898983808804
20,7,210113.0,201508.0,91.33487574278564
21,8,210113.0,201509.0,90.1011913743721
22,9,210113.0,201510.0,89.58283925759649
23,10,210113.0,201511.0,88.05183713567494
24,11,210113.0,201512.0,87.94716105739565
25,12,210113.0,201601.0,87.49729738722401
26,7,210204.0,201501.0,100.0
27,8,210204.0,201502.0,101.84396289974754
28,2,210204.0,201503.0,102.532292604316
29,3,210204.0,201504.0,102.62021774325719
30,4,210204.0,201505.0,102.86067134465009
31,9,210204.0,201506.0,101.91225902368328
32,5,210204.0,201507.0,100.50201155930922
33,6,210204.0,201508.0,104.47311284943135
34,0,210204.0,201509.0,99.3231504028146
35,10,210204.0,201510.0,96.89622741778261
36,11,210204.0,201511.0,95.83520000469576
37,1,210204.0,201512.0,89.82832397052786
38,12,210204.0,201601.0,89.30873507661285
39,5,210213.0,201501.0,100.0
40,6,210213.0,201502.0,98.52306882163359
41,7,210213.0,201503.0,97.68239422949428
42,8,210213.0,201504.0,99.65128995462535
43,9,210213.0,201505.0,99.02889739733621
44,10,210213.0,201506.0,99.19676162051033
45,11,210213.0,201507.0,97.65285633149145
46,3,210213.0,201508.0,95.79090353118173
47,4,210213.0,201509.0,94.27293823208707
48,0,210213.0,201510.0,94.71458796270076
49,1,210213.0,201511.0,95.43268766881445
50,2,210213.0,201512.0,92.98150148275036
51,12,210213.0,201601.0,89.52874873445916
52,9,210214.0,201501.0,100.0
53,10,210214.0,201502.0,101.82462077691395
54,11,210214.0,201503.0,101.6382379543479
55,5,210214.0,201504.0,102.38099771307205
56,6,210214.0,201505.0,100.86412487658798
