,month,Chainedaverage,level
167,201604,90.8683461796,210302.0
168,201605,90.6958058801,210302.0
169,201606,92.5750997934,210302.0
170,201607,93.5721427139,210302.0
171,201608,93.5762621622,210302.0
172,201610,94.0643124389,210302.0
173,201611,94.5645237291,210302.0
174,201406,100.0,211305.0
175,201407,98.3893976206,211305.0
176,201408,99.2058755364,211305.0
177,201409,99.3081878544,211305.0
178,201410,98.7282607423,211305.0
179,201411,97.1790030997,211305.0
180,201412,96.9222393087,211305.0
181,201501,96.1330632359,211305.0
182,201502,95.7466124004,211305.0
183,201503,95.1848254637,211305.0
184,201504,92.9792816674,211305.0
185,201505,94.9470712443,211305.0
186,201506,94.0091726083,211305.0
187,201507,94.9470352688,211305.0
188,201508,95.5631495735,211305.0
189,201509,97.5666251198,211305.0
190,201510,96.412142726,211305.0
191,201511,95.6552730655,211305.0
192,201512,94.2854142331,211305.0
193,201601,95.1307041585,211305.0
194,201602,95.1781499291,211305.0
195,201603,93.5901831587,211305.0
196,201604,92.2910598279,211305.0
197,201605,92.5407492306,211305.0
198,201606,91.6021989987,211305.0
199,201607,91.6898752796,211305.0
200,201608,91.1334208695,211305.0
201,201610,90.3936631844,211305.0
202,201611,90.001399905,211305.0
203,201406,100.0,211501.0
204,201407,98.6154442489,211501.0
205,201408,97.76240691,211501.0
206,201409,97.5907564025,211501.0
207,201410,93.2519290499,211501.0
208,201411,94.2531067053,211501.0
209,201412,93.6590354767,211501.0
210,201501,94.0208675531,211501.0
211,201502,92.0405018849,211501.0
212,201503,92.074042907,211501.0
213,201504,91.2379572472,211501.0
214,201505,90.846801955,211501.0
215,201506,91.2241245041,211501.0
216,201507,90.4568074189,211501.0
217,201508,90.4693691592,211501.0
218,201509,89.5168930314,211501.0
219,201510,88.4251424885,211501.0
220,201511,86.154740527,211501.0
221,201512,86.0166260914,211501.0
222,201601,84.3312728928,211501.0
223,201602,86.7900073465,211501.0
224,201603,87.3571399222,211501.0
225,201604,88.7265488575,211501.0
226,201605,87.7677288791,211501.0
227,201606,86.4238342815,211501.0
228,201607,87.7770375882,211501.0
229,201608,87.0490714724,211501.0
230,201610,87.2019125701,211501.0
231,201611,87.1988631137,211501.0
232,201406,100.0,211709.0
233,201407,99.5208071573,211709.0
234,201408,99.2963427892,211709.0
235,201409,97.8414553603,211709.0
236,201410,97.9744183934,211709.0
237,201411,98.5482413555,211709.0
238,201412,98.2126222839,211709.0
239,201501,98.1710885371,211709.0
240,201502,97.9765150326,211709.0
241,201503,97.3929344484,211709.0
242,201504,97.411685865,211709.0
243,201505,96.3797216803,211709.0
244,201506,96.7271719919,211709.0
245,201507,96.5058080503,211709.0
246,201508,95.6102331721,211709.0
247,201509,96.0993382562,211709.0
248,201510,97.3601776894,211709.0
249,201511,96.9007294071,211709.0
250,201512,96.8518528523,211709.0
251,201601,95.6383615923,211709.0
252,201602,96.9908123788,211709.0
253,201603,95.3172331949,211709.0
254,201604,95.9875424599,211709.0
255,201605,87.411921547,211709.0
256,201606,84.0017316432,211709.0
257,201607,84.7777891194,211709.0
258,201608,85.5677345259,211709.0
259,201610,84.9172387118,211709.0
260,201611,84.9263570136,211709.0
261,201406,100.0,211710.0
262,201407,99.4416412343,211710.0
263,201408,99.2201146651,211710.0
264,201409,98.0728431025,211710.0
265,201410,98.4545588178,211710.0
266,201411,98.5070935764,211710.0
267,201412,97.1799660064,211710.0
268,201501,97.1155595721,211710.0
269,201502,96.2964024354,211710.0
270,201503,96.2964024354,211710.0
271,201504,96.4343359725,211710.0
272,201505,96.4343359725,211710.0
273,201506,96.4343359725,211710.0
274,201507,96.4343359725,211710.0
275,201508,95.4933632065,211710.0
276,201509,95.7102917381,211710.0
277,201510,93.6347941143,211710.0
278,201511,92.5548178238,211710.0
279,201512,92.5548178238,211710.0
280,201601,92.5548178238,211710.0
281,201602,92.5548178238,211710.0
282,201603,92.5548178238,211710.0
283,201604,92.5548178238,211710.0
284,201605,74.2384813433,211710.0
285,201606,67.0665893145,211710.0
286,201607,67.0644523706,211710.0
287,201608,66.8381376714,211710.0
288,201610,64.426224559,211710.0
289,201611,64.1170262666,211710.0
290,201406,100.0,211807.0
291,201407,101.787405916,211807.0
292,201408,97.919167032,211807.0
293,201409,93.9572112053,211807.0
294,201410,96.5560472347,211807.0
295,201411,99.8953181885,211807.0
296,201412,100.011920298,211807.0
297,201501,77.7657394685,211807.0
298,201502,96.0955293457,211807.0
299,201503,94.5570622693,211807.0
300,201504,94.928462997,211807.0
301,201505,94.6346921055,211807.0
302,201506,94.5429867143,211807.0
303,201507,95.9715382796,211807.0
304,201508,93.1326524592,211807.0
305,201509,87.293206528,211807.0
306,201510,85.0398541915,211807.0
307,201511,83.1036262756,211807.0
308,201512,84.4366920781,211807.0
309,201601,83.1867427705,211807.0
310,201602,83.1259854377,211807.0
311,201603,85.4476231247,211807.0
312,201604,85.277492851,211807.0
313,201605,76.3552217132,211807.0
314,201606,70.3303249198,211807.0
315,201607,70.0530930897,211807.0
316,201608,70.7530172388,211807.0
317,201610,70.7090862106,211807.0
318,201611,70.9131968722,211807.0
319,201406,100.0,211814.0
320,201407,99.6194415891,211814.0
321,201408,101.062241331,211814.0
322,201409,99.6869756092,211814.0
323,201410,99.7573237975,211814.0
324,201411,100.339968459,211814.0
325,201412,100.46464479,211814.0
326,201501,100.171364897,211814.0
327,201502,99.2784664846,211814.0
328,201503,99.9985015945,211814.0
329,201504,100.021693618,211814.0
330,201505,97.1853327936,211814.0
331,201506,96.5912549621,211814.0
332,201507,98.6756200734,211814.0
333,201508,98.2731044344,211814.0
334,201509,97.6863570857,211814.0
335,201510,96.9445117002,211814.0
336,201511,97.0477502602,211814.0
337,201512,97.0291369214,211814.0
338,201601,96.0804824207,211814.0
339,201602,97.3770683405,211814.0
340,201603,93.8456610044,211814.0
341,201604,91.3120707469,211814.0
342,201605,88.6656467353,211814.0
343,201606,90.2321462438,211814.0
344,201607,89.3215932793,211814.0
345,201608,89.6788567475,211814.0
346,201610,90.0346263754,211814.0
347,201611,90.4215486902,211814.0
348,201406,100.0,211901.0
349,201407,101.518887457,211901.0
350,201408,100.581997665,211901.0
351,201409,99.8942548574,211901.0
352,201410,101.263881857,211901.0
353,201411,100.449619019,211901.0
354,201412,95.7909299978,211901.0
355,201501,99.6996447829,211901.0
356,201502,99.7661253943,211901.0
357,201503,98.2142973481,211901.0
358,201504,100.680322165,211901.0
359,201505,97.7696457583,211901.0
360,201506,98.4490363087,211901.0
361,201507,98.6878319358,211901.0
362,201508,97.4561183547,211901.0
363,201509,97.1158275883,211901.0
364,201510,95.5578519989,211901.0
365,201511,94.6878061892,211901.0
366,201512,95.5198241425,211901.0
367,201601,95.189913407,211901.0
368,201602,100.403307846,211901.0
369,201603,99.5484951362,211901.0
370,201604,100.432507571,211901.0
371,201605,102.314872944,211901.0
372,201606,101.13855544,211901.0
373,201607,102.114923845,211901.0
374,201608,100.508609322,211901.0
375,201610,100.508609322,211901.0
376,201611,101.008038122,211901.0
377,201406,100.0,212006.0
378,201407,99.441989621,212006.0
