,CLIP,i,ons_item_name,period
0,100.0,0,"apple cider, bottle, 4.5%-5.5% abv",201501.0
1,100.19543863594068,1,"apple cider, bottle, 4.5%-5.5% abv",201502.0
2,100.19860413039794,2,"apple cider, bottle, 4.5%-5.5% abv",201503.0
3,101.46847843072544,3,"apple cider, bottle, 4.5%-5.5% abv",201504.0
4,102.95166113000597,4,"apple cider, bottle, 4.5%-5.5% abv",201505.0
5,102.73814012297007,5,"apple cider, bottle, 4.5%-5.5% abv",201506.0
6,102.54181344170506,6,"apple cider, bottle, 4.5%-5.5% abv",201507.0
7,102.86324603666625,7,"apple cider, bottle, 4.5%-5.5% abv",201508.0
8,102.58362345114634,8,"apple cider, bottle, 4.5%-5.5% abv",201509.0
9,102.11058868384862,9,"apple cider, bottle, 4.5%-5.5% abv",201510.0
10,100.99792917835887,10,"apple cider, bottle, 4.5%-5.5% abv",201511.0
11,101.53629379988244,11,"apple cider, bottle, 4.5%-5.5% abv",201512.0
12,96.93688681597436,12,"apple cider, bottle, 4.5%-5.5% abv",201513.0
13,96.11931505331239,13,"apple cider, bottle, 4.5%-5.5% abv",201514.0
14,99.19890966493843,14,"apple cider, bottle, 4.5%-5.5% abv",201515.0
15,102.08320945867449,15,"apple cider, bottle, 4.5%-5.5% abv",201516.0
16,105.10301083376643,16,"apple cider, bottle, 4.5%-5.5% abv",201517.0
17,105.1393900302626,17,"apple cider, bottle, 4.5%-5.5% abv",201518.0
18,104.36341743702377,18,"apple cider, bottle, 4.5%-5.5% abv",201519.0
19,103.20339438728843,19,"apple cider, bottle, 4.5%-5.5% abv",201520.0
20,99.75446657586026,20,"apple cider, bottle, 4.5%-5.5% abv",201521.0
21,100.34877073360968,21,"apple cider, bottle, 4.5%-5.5% abv",201522.0
22,101.01495324216518,22,"apple cider, bottle, 4.5%-5.5% abv",201523.0
23,101.10876783808034,23,"apple cider, bottle, 4.5%-5.5% abv",201524.0
24,100.98357370539372,24,"apple cider, bottle, 4.5%-5.5% abv",201525.0
25,100.53874052255229,25,"apple cider, bottle, 4.5%-5.5% abv",201526.0
26,103.51072560783867,26,"apple cider, bottle, 4.5%-5.5% abv",201527.0
27,103.4679940611552,27,"apple cider, bottle, 4.5%-5.5% abv",201528.0
28,102.82277425539364,28,"apple cider, bottle, 4.5%-5.5% abv",201529.0
29,102.71529369352888,29,"apple cider, bottle, 4.5%-5.5% abv",201530.0
30,100.18874118458443,30,"apple cider, bottle, 4.5%-5.5% abv",201531.0
31,98.66431800422284,31,"apple cider, bottle, 4.5%-5.5% abv",201532.0
32,101.1680249429649,32,"apple cider, bottle, 4.5%-5.5% abv",201533.0
33,101.43921981792798,33,"apple cider, bottle, 4.5%-5.5% abv",201534.0
34,100.05849996643596,34,"apple cider, bottle, 4.5%-5.5% abv",201535.0
35,99.75196845817462,35,"apple cider, bottle, 4.5%-5.5% abv",201536.0
36,101.86353139863054,36,"apple cider, bottle, 4.5%-5.5% abv",201537.0
37,100.7611732279853,37,"apple cider, bottle, 4.5%-5.5% abv",201538.0
38,98.22370023783711,38,"apple cider, bottle, 4.5%-5.5% abv",201539.0
39,97.37222951016426,39,"apple cider, bottle, 4.5%-5.5% abv",201540.0
40,101.31185841229448,40,"apple cider, bottle, 4.5%-5.5% abv",201541.0
41,101.81320734569547,41,"apple cider, bottle, 4.5%-5.5% abv",201542.0
42,103.04972067378677,42,"apple cider, bottle, 4.5%-5.5% abv",201544.0
43,102.08126689657311,43,"apple cider, bottle, 4.5%-5.5% abv",201545.0
44,101.39433660364558,44,"apple cider, bottle, 4.5%-5.5% abv",201546.0
45,102.52864722749504,45,"apple cider, bottle, 4.5%-5.5% abv",201547.0
46,102.52864722749504,46,"apple cider, bottle, 4.5%-5.5% abv",201548.0
47,101.18623589577211,47,"apple cider, bottle, 4.5%-5.5% abv",201549.0
48,100.56236638885633,48,"apple cider, bottle, 4.5%-5.5% abv",201550.0
49,96.38255027420946,49,"apple cider, bottle, 4.5%-5.5% abv",201551.0
50,95.9257130394199,50,"apple cider, bottle, 4.5%-5.5% abv",201552.0
51,101.14596867273274,51,"apple cider, bottle, 4.5%-5.5% abv",201601.0
52,100.0,0,"apples, dessert, per kg",201501.0
53,99.97613690479011,1,"apples, dessert, per kg",201502.0
54,99.17250806287389,2,"apples, dessert, per kg",201503.0
55,99.64890054134639,3,"apples, dessert, per kg",201504.0
56,99.66430830772825,4,"apples, dessert, per kg",201505.0
57,100.56282157403693,5,"apples, dessert, per kg",201506.0
58,100.13392776420127,6,"apples, dessert, per kg",201507.0
59,99.9628828549748,7,"apples, dessert, per kg",201508.0
60,99.61976477830864,8,"apples, dessert, per kg",201509.0
61,99.6405578276038,9,"apples, dessert, per kg",201510.0
62,100.01952416624067,10,"apples, dessert, per kg",201511.0
63,100.14494313958575,11,"apples, dessert, per kg",201512.0
64,101.34946711587034,12,"apples, dessert, per kg",201513.0
65,101.75920877920875,13,"apples, dessert, per kg",201514.0
66,102.44129034918276,14,"apples, dessert, per kg",201515.0
67,102.67580978122197,15,"apples, dessert, per kg",201516.0
68,103.71460778216053,16,"apples, dessert, per kg",201517.0
69,104.0586507723329,17,"apples, dessert, per kg",201518.0
70,104.30985785516755,18,"apples, dessert, per kg",201519.0
71,104.50700949437632,19,"apples, dessert, per kg",201520.0
72,104.09297912774417,20,"apples, dessert, per kg",201521.0
73,104.21913640111595,21,"apples, dessert, per kg",201522.0
74,103.39813626907117,22,"apples, dessert, per kg",201523.0
75,103.19389878593775,23,"apples, dessert, per kg",201524.0
76,103.63186014526944,24,"apples, dessert, per kg",201525.0
77,103.63186014526944,25,"apples, dessert, per kg",201526.0
78,104.00009374124663,26,"apples, dessert, per kg",201527.0
79,103.32150309156656,27,"apples, dessert, per kg",201528.0
80,105.07025251017552,28,"apples, dessert, per kg",201529.0
81,105.39060048690804,29,"apples, dessert, per kg",201530.0
82,104.95325955123447,30,"apples, dessert, per kg",201531.0
83,104.77883175464748,31,"apples, dessert, per kg",201532.0
84,103.50433943680937,32,"apples, dessert, per kg",201533.0
85,102.81510693695634,33,"apples, dessert, per kg",201534.0
86,103.88551314127908,34,"apples, dessert, per kg",201535.0
87,104.5231812256566,35,"apples, dessert, per kg",201536.0
88,104.28681325075708,36,"apples, dessert, per kg",201537.0
