,ons_item_number,period,unit
149,210302.0,201410.0,101.124655885
150,210302.0,201411.0,101.330510601
151,210302.0,201412.0,101.378671272
152,210302.0,201501.0,102.385768692
153,210302.0,201502.0,102.223196083
154,210302.0,201503.0,102.351030265
155,210302.0,201504.0,101.672120985
156,210302.0,201505.0,101.881481608
157,210302.0,201506.0,101.630526783
158,210302.0,201507.0,102.209634003
159,210302.0,201508.0,102.404966416
160,210302.0,201509.0,96.5204689044
161,210302.0,201510.0,95.8524553907
162,210302.0,201511.0,94.3401647976
163,210302.0,201512.0,88.3657106851
164,210302.0,201601.0,91.472513033
165,210302.0,201602.0,90.5625129803
166,210302.0,201603.0,90.4126644223
167,210302.0,201604.0,89.0624556908
168,210302.0,201605.0,87.610277185
169,210302.0,201606.0,89.6713538035
170,210302.0,201607.0,89.6713538035
171,210302.0,201608.0,89.6713538035
172,210302.0,201610.0,89.0165144927
173,210302.0,201611.0,88.6270321809
174,211305.0,201406.0,100.0
175,211305.0,201407.0,98.3964889205
176,211305.0,201408.0,99.0780503904
177,211305.0,201409.0,99.4189303896
178,211305.0,201410.0,98.708795952
179,211305.0,201411.0,97.939267667
180,211305.0,201412.0,97.6503423723
181,211305.0,201501.0,97.2360911096
182,211305.0,201502.0,96.7063562275
183,211305.0,201503.0,96.5493768231
184,211305.0,201504.0,94.4984690727
185,211305.0,201505.0,97.0212456436
186,211305.0,201506.0,95.8516570746
187,211305.0,201507.0,96.1771388566
188,211305.0,201508.0,95.4140011968
189,211305.0,201509.0,96.8154386222
190,211305.0,201510.0,95.8937543385
191,211305.0,201511.0,93.4001080905
192,211305.0,201512.0,92.8836112939
193,211305.0,201601.0,93.554493998
194,211305.0,201602.0,93.1337415181
195,211305.0,201603.0,92.9336478523
196,211305.0,201604.0,89.1454398796
197,211305.0,201605.0,91.9260932538
198,211305.0,201606.0,94.6361523261
199,211305.0,201607.0,92.2910167207
200,211305.0,201608.0,94.3118111017
201,211305.0,201610.0,93.1388857457
202,211305.0,201611.0,92.938934235
203,211501.0,201406.0,100.0
204,211501.0,201407.0,99.3939127238
205,211501.0,201408.0,99.0856757918
206,211501.0,201409.0,98.672635762
207,211501.0,201410.0,95.1572168339
208,211501.0,201411.0,95.571970567
209,211501.0,201412.0,95.1913652462
210,211501.0,201501.0,95.945054644
211,211501.0,201502.0,94.1013549851
212,211501.0,201503.0,95.5497192559
213,211501.0,201504.0,94.7001693476
214,211501.0,201505.0,94.4156039122
215,211501.0,201506.0,94.4835696366
216,211501.0,201507.0,94.0976309033
217,211501.0,201508.0,93.5552529134
218,211501.0,201509.0,91.8177944029
219,211501.0,201510.0,91.6034234557
220,211501.0,201511.0,88.4269631657
221,211501.0,201512.0,85.912925917
222,211501.0,201601.0,85.1493422823
223,211501.0,201602.0,87.3516077011
224,211501.0,201603.0,90.0616558948
225,211501.0,201604.0,87.0194159369
226,211501.0,201605.0,87.2548548889
227,211501.0,201606.0,83.1351440639
228,211501.0,201607.0,85.8705560422
229,211501.0,201608.0,85.7103466301
230,211501.0,201610.0,84.227377169
231,211501.0,201611.0,84.1216218542
232,211709.0,201406.0,100.0
233,211709.0,201407.0,99.4956835003
234,211709.0,201408.0,99.317125934
235,211709.0,201409.0,97.6789589063
236,211709.0,201410.0,97.841596666
237,211709.0,201411.0,97.9599312253
238,211709.0,201412.0,97.7444989744
239,211709.0,201501.0,97.6994829335
240,211709.0,201502.0,97.5159005055
241,211709.0,201503.0,96.9247281194
242,211709.0,201504.0,96.9283235659
243,211709.0,201505.0,96.5659655401
244,211709.0,201506.0,96.8550890075
245,211709.0,201507.0,95.9843078659
246,211709.0,201508.0,95.8351588839
247,211709.0,201509.0,96.0641393544
248,211709.0,201510.0,96.269882443
249,211709.0,201511.0,96.0321289881
250,211709.0,201512.0,96.7661719495
251,211709.0,201601.0,95.1827382492
252,211709.0,201602.0,95.3865716064
253,211709.0,201603.0,94.2980065785
254,211709.0,201604.0,96.0854343997
255,211709.0,201605.0,93.4524513158
256,211709.0,201606.0,93.4782536074
257,211709.0,201607.0,96.5871157066
258,211709.0,201608.0,95.5523521343
259,211709.0,201610.0,97.0170621314
260,211709.0,201611.0,93.9324629634
261,211710.0,201406.0,100.0
262,211710.0,201407.0,99.4485772118
263,211710.0,201408.0,99.1437519836
264,211710.0,201409.0,97.6362694708
265,211710.0,201410.0,97.9808791894
266,211710.0,201411.0,98.1625961899
267,211710.0,201412.0,96.9785188668
268,211710.0,201501.0,94.6354902853
269,211710.0,201502.0,93.8869442421
270,211710.0,201503.0,93.8869442421
271,211710.0,201504.0,94.021426507
272,211710.0,201505.0,94.021426507
273,211710.0,201506.0,93.7804935229
274,211710.0,201507.0,93.8372522111
275,211710.0,201508.0,93.3442926008
276,211710.0,201509.0,93.7128327244
277,211710.0,201510.0,94.8025447418
278,211710.0,201511.0,95.6429317556
279,211710.0,201512.0,95.6429317556
280,211710.0,201601.0,95.6429317556
281,211710.0,201602.0,95.6429317556
282,211710.0,201603.0,95.6429317556
283,211710.0,201604.0,95.6429317556
284,211710.0,201605.0,95.6429317556
285,211710.0,201606.0,95.6429317556
286,211710.0,201607.0,95.6429317556
287,211710.0,201608.0,95.6429317556
288,211710.0,201610.0,95.6429317556
289,211710.0,201611.0,95.6429317556
290,211807.0,201406.0,100.0
291,211807.0,201407.0,101.948896458
292,211807.0,201408.0,98.276670116
293,211807.0,201409.0,91.0484755987
294,211807.0,201410.0,94.1655844401
295,211807.0,201411.0,100.691084483
296,211807.0,201412.0,100.638932361
297,211807.0,201501.0,91.2910484508
298,211807.0,201502.0,111.452687573
299,211807.0,201503.0,113.565218886
300,211807.0,201504.0,116.147352654
301,211807.0,201505.0,120.554067332
302,211807.0,201506.0,121.730267271
303,211807.0,201507.0,123.678210415
304,211807.0,201508.0,122.668625406
305,211807.0,201509.0,122.623122261
306,211807.0,201510.0,120.412994276
307,211807.0,201511.0,123.595071075
308,211807.0,201512.0,138.428565576
309,211807.0,201601.0,125.814830488
310,211807.0,201602.0,126.071133954
311,211807.0,201603.0,128.686395452
