,CLIP,i,ons_item_name,period
0,100.0,0,"apple cider, bottle, 4.5%-5.5% abv",201501.0
1,102.2324173583284,1,"apple cider, bottle, 4.5%-5.5% abv",201502.0
2,101.2947888442973,2,"apple cider, bottle, 4.5%-5.5% abv",201503.0
3,99.58783386204622,3,"apple cider, bottle, 4.5%-5.5% abv",201504.0
4,102.88451525720046,4,"apple cider, bottle, 4.5%-5.5% abv",201505.0
5,100.26448764414533,5,"apple cider, bottle, 4.5%-5.5% abv",201506.0
6,102.3805942925414,6,"apple cider, bottle, 4.5%-5.5% abv",201507.0
7,100.14284057884852,7,"apple cider, bottle, 4.5%-5.5% abv",201508.0
8,100.90969847682368,8,"apple cider, bottle, 4.5%-5.5% abv",201509.0
9,100.68824389899082,9,"apple cider, bottle, 4.5%-5.5% abv",201510.0
10,100.72846144291954,10,"apple cider, bottle, 4.5%-5.5% abv",201511.0
11,99.23885849391849,11,"apple cider, bottle, 4.5%-5.5% abv",201512.0
12,100.19104663856481,12,"apple cider, bottle, 4.5%-5.5% abv",201601.0
13,100.0,0,"apples, dessert, per kg",201501.0
14,100.2379810813052,1,"apples, dessert, per kg",201502.0
15,100.9585056254936,2,"apples, dessert, per kg",201503.0
16,102.41964053096754,3,"apples, dessert, per kg",201504.0
17,104.3167358606522,4,"apples, dessert, per kg",201505.0
18,104.366603303174,5,"apples, dessert, per kg",201506.0
19,105.09131789436346,6,"apples, dessert, per kg",201507.0
20,105.0336472515807,7,"apples, dessert, per kg",201508.0
21,104.65326185838224,8,"apples, dessert, per kg",201509.0
22,98.1137137219702,9,"apples, dessert, per kg",201510.0
23,99.34592463804253,10,"apples, dessert, per kg",201511.0
24,100.08346271233661,11,"apples, dessert, per kg",201512.0
25,102.0183273609774,12,"apples, dessert, per kg",201601.0
26,100.0,0,"bananas, per kg",201501.0
27,96.02593669881549,1,"bananas, per kg",201502.0
28,95.3791199526754,2,"bananas, per kg",201503.0
29,95.3791199526754,3,"bananas, per kg",201504.0
30,95.3791199526754,4,"bananas, per kg",201505.0
31,95.3791199526754,5,"bananas, per kg",201506.0
32,95.3791199526754,6,"bananas, per kg",201507.0
33,95.3791199526754,7,"bananas, per kg",201508.0
34,95.3791199526754,8,"bananas, per kg",201509.0
35,93.88677354168696,9,"bananas, per kg",201510.0
36,95.3791199526754,10,"bananas, per kg",201511.0
37,95.3791199526754,11,"bananas, per kg",201512.0
38,95.3791199526754,12,"bananas, per kg",201601.0
39,100.0,0,"bitter, 4 cans, 3.4%-7.5% abv",201501.0
40,103.75836675768335,1,"bitter, 4 cans, 3.4%-7.5% abv",201502.0
41,99.2509106058562,2,"bitter, 4 cans, 3.4%-7.5% abv",201503.0
42,96.11718685709407,3,"bitter, 4 cans, 3.4%-7.5% abv",201504.0
43,98.46446095833782,4,"bitter, 4 cans, 3.4%-7.5% abv",201505.0
44,101.45658367467156,5,"bitter, 4 cans, 3.4%-7.5% abv",201506.0
45,100.4951119739417,6,"bitter, 4 cans, 3.4%-7.5% abv",201507.0
46,101.7023635472703,7,"bitter, 4 cans, 3.4%-7.5% abv",201508.0
47,103.64394740650806,8,"bitter, 4 cans, 3.4%-7.5% abv",201509.0
48,106.78064819114476,9,"bitter, 4 cans, 3.4%-7.5% abv",201510.0
49,98.45571745210621,10,"bitter, 4 cans, 3.4%-7.5% abv",201511.0
50,98.44250406410299,11,"bitter, 4 cans, 3.4%-7.5% abv",201512.0
51,97.83256854950965,12,"bitter, 4 cans, 3.4%-7.5% abv",201601.0
52,100.0,0,"brandy, bottle",201501.0
53,99.81195606445814,1,"brandy, bottle",201502.0
54,100.34417321785763,2,"brandy, bottle",201503.0
55,99.97827043155064,3,"brandy, bottle",201504.0
56,103.67327789541565,4,"brandy, bottle",201505.0
57,105.14839818375282,5,"brandy, bottle",201506.0
58,115.50798986170187,6,"brandy, bottle",201507.0
59,113.88395746660771,7,"brandy, bottle",201508.0
60,114.18631156717586,8,"brandy, bottle",201509.0
61,105.57647165382214,9,"brandy, bottle",201510.0
62,102.98185578486687,10,"brandy, bottle",201511.0
63,100.19696172314032,11,"brandy, bottle",201512.0
64,109.85068003176654,12,"brandy, bottle",201601.0
65,100.0,0,"breakfast cereal 1, sugar/chocolate coated",201501.0
66,98.39818448744175,1,"breakfast cereal 1, sugar/chocolate coated",201502.0
67,97.6434679097477,2,"breakfast cereal 1, sugar/chocolate coated",201503.0
68,99.94624977545938,3,"breakfast cereal 1, sugar/chocolate coated",201504.0
69,99.23745700629475,4,"breakfast cereal 1, sugar/chocolate coated",201505.0
70,98.94114155862779,5,"breakfast cereal 1, sugar/chocolate coated",201506.0
71,97.55819103916437,6,"breakfast cereal 1, sugar/chocolate coated",201507.0
72,95.60664666409818,7,"breakfast cereal 1, sugar/chocolate coated",201508.0
73,97.73719272595974,8,"breakfast cereal 1, sugar/chocolate coated",201509.0
74,94.99369769369848,9,"breakfast cereal 1, sugar/chocolate coated",201510.0
75,97.73223870720203,10,"breakfast cereal 1, sugar/chocolate coated",201511.0
76,99.55301813274008,11,"breakfast cereal 1, sugar/chocolate coated",201512.0
77,94.2468092947035,12,"breakfast cereal 1, sugar/chocolate coated",201601.0
78,100.0,0,"breakfast cereal 2, not sugar/chocolate coated",201501.0
79,101.1251261503696,1,"breakfast cereal 2, not sugar/chocolate coated",201502.0
80,99.82099423747641,2,"breakfast cereal 2, not sugar/chocolate coated",201503.0
81,100.46077920285875,3,"breakfast cereal 2, not sugar/chocolate coated",201504.0
82,99.42707116544261,4,"breakfast cereal 2, not sugar/chocolate coated",201505.0
83,99.77136629191385,5,"breakfast cereal 2, not sugar/chocolate coated",201506.0
84,96.43788651493247,6,"breakfast cereal 2, not sugar/chocolate coated",201507.0
85,99.539144375883,7,"breakfast cereal 2, not sugar/chocolate coated",201508.0
86,92.95407337855983,8,"breakfast cereal 2, not sugar/chocolate coated",201509.0
87,99.0107247148309,9,"breakfast cereal 2, not sugar/chocolate coated",201510.0
88,97.28046849239563,10,"breakfast cereal 2, not sugar/chocolate coated",201511.0
89,101.98943717499283,11,"breakfast cereal 2, not sugar/chocolate coated",201512.0
90,97.42441960000652,12,"breakfast cereal 2, not sugar/chocolate coated",201601.0
91,100.0,0,"cheese cheddar, home produced, per kg",201501.0
92,98.07837968750204,1,"cheese cheddar, home produced, per kg",201502.0
93,99.58795647196207,2,"cheese cheddar, home produced, per kg",201503.0
