,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,level_3,period,weighted_index
81,81,81,81,51,alcoholic_drinks ,201601.0,91.98110092946514
82,82,1,,,alcoholic_drinks ,201602.0,93.06878644214542
83,83,2,,,alcoholic_drinks ,201603.0,92.68725109889363
84,84,3,,,alcoholic_drinks ,201604.0,92.47465868805784
85,85,4,,,alcoholic_drinks ,201605.0,92.36638960085929
86,86,5,,,alcoholic_drinks ,201606.0,91.70671984894321
87,87,6,,,alcoholic_drinks ,201607.0,91.64715791576307
88,88,7,,,alcoholic_drinks ,201608.0,91.21877424396685
89,89,8,,,alcoholic_drinks ,201609.0,91.04411619380895
90,90,9,,,alcoholic_drinks ,201610.0,90.39989903539981
91,91,10,,,alcoholic_drinks ,201611.0,90.4009980160591
92,92,11,,,alcoholic_drinks ,201612.0,90.3744445262453
93,93,12,,,alcoholic_drinks ,201613.0,90.26649984727518
94,94,13,,,alcoholic_drinks ,201614.0,90.22423494249846
95,95,14,,,alcoholic_drinks ,201615.0,89.89655079755765
96,96,15,,,alcoholic_drinks ,201616.0,89.84913777986179
97,97,16,,,alcoholic_drinks ,201617.0,90.13972713580102
98,98,17,,,alcoholic_drinks ,201618.0,90.47943449234366
99,99,18,,,alcoholic_drinks ,201619.0,90.82894719160342
100,100,19,,,alcoholic_drinks ,201620.0,90.74766102503787
101,101,20,,,alcoholic_drinks ,201621.0,89.48590118897432
102,102,21,,,alcoholic_drinks ,201622.0,89.01573021118604
103,103,22,,,alcoholic_drinks ,201623.0,89.013392343099
104,104,23,,,alcoholic_drinks ,201624.0,88.82098105623741
105,105,24,,,alcoholic_drinks ,201625.0,89.7181858518559
106,106,25,,,alcoholic_drinks ,201626.0,90.03162920795246
107,107,26,,,alcoholic_drinks ,201627.0,90.04311910149855
108,108,27,,,alcoholic_drinks ,201628.0,90.30651968188182
109,109,28,,,alcoholic_drinks ,201629.0,90.39782165092414
110,110,29,,,alcoholic_drinks ,201630.0,90.2015525150986
111,111,30,,,alcoholic_drinks ,201631.0,90.15685501253715
112,112,31,,,alcoholic_drinks ,201632.0,89.93621330068775
113,113,32,,,alcoholic_drinks ,201644.0,90.84741959326131
114,0,82,0,31,food_and_non_alcoholic_beverages,201423.0,99.99999999
115,1,83,1,32,food_and_non_alcoholic_beverages,201424.0,99.48529549218568
116,2,84,2,33,food_and_non_alcoholic_beverages,201425.0,99.01758434197434
117,3,85,3,34,food_and_non_alcoholic_beverages,201426.0,99.62257056291595
118,4,86,4,35,food_and_non_alcoholic_beverages,201427.0,99.51606049537868
119,5,87,5,36,food_and_non_alcoholic_beverages,201428.0,99.54133065672718
120,6,88,6,37,food_and_non_alcoholic_beverages,201429.0,99.45540403656751
121,7,89,7,38,food_and_non_alcoholic_beverages,201430.0,99.49508480862536
122,8,90,8,39,food_and_non_alcoholic_beverages,201431.0,99.27988945686359
123,9,91,9,40,food_and_non_alcoholic_beverages,201432.0,99.08709363879957
124,10,92,10,41,food_and_non_alcoholic_beverages,201433.0,99.31434630673337
125,11,93,11,42,food_and_non_alcoholic_beverages,201434.0,98.55713221950072
126,12,94,12,43,food_and_non_alcoholic_beverages,201435.0,98.39171341379797
127,13,95,13,44,food_and_non_alcoholic_beverages,201436.0,98.32847594389152
128,14,96,14,45,food_and_non_alcoholic_beverages,201437.0,98.53349030995527
129,15,97,15,46,food_and_non_alcoholic_beverages,201438.0,98.90356359335259
130,16,98,16,47,food_and_non_alcoholic_beverages,201439.0,99.08451355810404
131,17,99,17,48,food_and_non_alcoholic_beverages,201440.0,98.79814133158493
132,18,100,18,49,food_and_non_alcoholic_beverages,201441.0,99.0939257351922
133,19,101,19,50,food_and_non_alcoholic_beverages,201442.0,100.01887586917817
134,20,102,20,51,food_and_non_alcoholic_beverages,201443.0,100.25913071431691
135,21,103,21,52,food_and_non_alcoholic_beverages,201444.0,100.53587672929244
136,22,104,22,53,food_and_non_alcoholic_beverages,201445.0,100.84182289095158
137,23,105,23,54,food_and_non_alcoholic_beverages,201446.0,100.80907242893441
138,24,106,24,55,food_and_non_alcoholic_beverages,201447.0,100.6716181355429
139,25,107,25,56,food_and_non_alcoholic_beverages,201448.0,100.34598160908764
140,26,108,26,57,food_and_non_alcoholic_beverages,201449.0,99.62222220250374
141,27,109,27,58,food_and_non_alcoholic_beverages,201450.0,99.32251551486482
142,28,110,28,59,food_and_non_alcoholic_beverages,201451.0,99.47573954266151
143,29,111,29,60,food_and_non_alcoholic_beverages,201452.0,99.47652080097683
144,30,112,30,61,food_and_non_alcoholic_beverages,201501.0,98.3956252893264
145,31,113,31,53,food_and_non_alcoholic_beverages,201502.0,97.7342922805128
146,32,114,32,54,food_and_non_alcoholic_beverages,201503.0,97.23219853085787
147,33,115,33,55,food_and_non_alcoholic_beverages,201504.0,97.69969190397954
148,34,116,34,56,food_and_non_alcoholic_beverages,201505.0,98.3286677198367
149,35,117,35,57,food_and_non_alcoholic_beverages,201506.0,98.07894098007682
150,36,118,36,58,food_and_non_alcoholic_beverages,201507.0,98.1668734817982
151,37,119,37,59,food_and_non_alcoholic_beverages,201508.0,98.36522418646611
152,38,120,38,60,food_and_non_alcoholic_beverages,201509.0,97.69492052574276
153,39,121,39,61,food_and_non_alcoholic_beverages,201510.0,97.3502110262838
154,40,122,40,62,food_and_non_alcoholic_beverages,201511.0,97.35331990452266
155,41,123,41,63,food_and_non_alcoholic_beverages,201512.0,97.46511241305195
156,42,124,42,64,food_and_non_alcoholic_beverages,201513.0,97.6411703092538
157,43,125,43,65,food_and_non_alcoholic_beverages,201514.0,97.6477991376633
158,44,126,44,66,food_and_non_alcoholic_beverages,201515.0,97.92457288004888
159,45,127,45,67,food_and_non_alcoholic_beverages,201516.0,98.01543396178637
160,46,128,46,68,food_and_non_alcoholic_beverages,201517.0,97.95748577767421
161,47,129,47,69,food_and_non_alcoholic_beverages,201518.0,97.97735473638826
162,48,130,48,70,food_and_non_alcoholic_beverages,201519.0,98.07653814794541
163,49,131,49,71,food_and_non_alcoholic_beverages,201520.0,97.76094957883669
164,50,132,50,72,food_and_non_alcoholic_beverages,201521.0,96.80011851544533
165,51,133,51,73,food_and_non_alcoholic_beverages,201522.0,97.63139387939435
166,52,134,52,74,food_and_non_alcoholic_beverages,201523.0,97.02296803617062
167,53,135,53,75,food_and_non_alcoholic_beverages,201524.0,97.13127417046161
168,54,136,54,76,food_and_non_alcoholic_beverages,201525.0,99.34853107269166
169,55,137,55,77,food_and_non_alcoholic_beverages,201526.0,99.68034802020155
170,56,138,56,78,food_and_non_alcoholic_beverages,201527.0,97.11289289378816
171,57,139,57,79,food_and_non_alcoholic_beverages,201528.0,96.87169367443755
172,58,140,58,80,food_and_non_alcoholic_beverages,201529.0,96.64143788958435
173,59,141,59,81,food_and_non_alcoholic_beverages,201530.0,96.14018682387045
174,60,142,60,82,food_and_non_alcoholic_beverages,201531.0,96.55459638738586
175,61,143,61,83,food_and_non_alcoholic_beverages,201532.0,96.28604520201986
176,62,144,62,84,food_and_non_alcoholic_beverages,201533.0,96.4754464752521
177,63,145,63,85,food_and_non_alcoholic_beverages,201534.0,96.40624722942894
