,index,ons_name,type
714,0.0,"bananas, per kg",Jevons
715,0.0,"bananas, per kg",Jevons
716,0.0,"bananas, per kg",Jevons
717,0.0,"bananas, per kg",Jevons
718,0.0,"bananas, per kg",Jevons
719,0.0,"bananas, per kg",Jevons
720,0.0,"bananas, per kg",Jevons
721,0.0,"bananas, per kg",Jevons
722,0.0,"bananas, per kg",Jevons
723,0.0,"bitter, 4 cans, 3.4%-7.5% abv",CLIP
724,0.0,"bitter, 4 cans, 3.4%-7.5% abv",CLIP
725,0.0,"bitter, 4 cans, 3.4%-7.5% abv",CLIP
726,0.0,"bitter, 4 cans, 3.4%-7.5% abv",CLIP
727,0.0,"bitter, 4 cans, 3.4%-7.5% abv",CLIP
728,0.0,"bitter, 4 cans, 3.4%-7.5% abv",CLIP
729,0.0,"bitter, 4 cans, 3.4%-7.5% abv",CLIP
730,0.0,"bitter, 4 cans, 3.4%-7.5% abv",CLIP
731,0.0,"bitter, 4 cans, 3.4%-7.5% abv",CLIP
732,0.0,"bitter, 4 cans, 3.4%-7.5% abv",CLIP
733,0.0,"brandy, bottle",CLIP
734,0.0,"brandy, bottle",CLIP
735,0.0,"brandy, bottle",CLIP
736,0.0,"brandy, bottle",CLIP
737,0.0,"brandy, bottle",CLIP
738,0.0,"brandy, bottle",CLIP
739,0.0,"brandy, bottle",CLIP
740,0.0,"brandy, bottle",CLIP
741,0.0,"brandy, bottle",CLIP
742,0.0,"brandy, bottle",CLIP
743,0.0,"breakfast cereal 1, sugar/chocolate coated",jevons
744,0.0,"breakfast cereal 1, sugar/chocolate coated",jevons
745,0.0,"breakfast cereal 1, sugar/chocolate coated",jevons
746,0.0,"breakfast cereal 1, sugar/chocolate coated",jevons
747,0.0,"breakfast cereal 1, sugar/chocolate coated",jevons
748,0.0,"breakfast cereal 1, sugar/chocolate coated",jevons
749,0.0,"breakfast cereal 1, sugar/chocolate coated",jevons
750,0.0,"breakfast cereal 1, sugar/chocolate coated",jevons
751,0.0,"breakfast cereal 1, sugar/chocolate coated",jevons
752,0.0,"breakfast cereal 1, sugar/chocolate coated",jevons
753,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
754,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
755,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
756,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
757,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
758,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
759,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
760,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
761,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
762,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
763,0.0,"cheese cheddar, home produced, per kg",CLIP
764,0.0,"cheese cheddar, home produced, per kg",CLIP
765,0.0,"cheese cheddar, home produced, per kg",CLIP
766,0.0,"cheese cheddar, home produced, per kg",CLIP
767,0.0,"cheese cheddar, home produced, per kg",CLIP
768,0.0,"cheese cheddar, home produced, per kg",CLIP
769,0.0,"cheese cheddar, home produced, per kg",CLIP
770,0.0,"cheese cheddar, home produced, per kg",CLIP
771,0.0,"cheese cheddar, home produced, per kg",CLIP
772,0.0,"cheese cheddar, home produced, per kg",CLIP
773,0.0,"cola flavoured drink, bottle",jevons
774,0.0,"cola flavoured drink, bottle",jevons
775,0.0,"cola flavoured drink, bottle",jevons
776,0.0,"cola flavoured drink, bottle",jevons
777,0.0,"cola flavoured drink, bottle",jevons
778,0.0,"cola flavoured drink, bottle",jevons
779,0.0,"cola flavoured drink, bottle",jevons
780,0.0,"cola flavoured drink, bottle",jevons
781,0.0,"cola flavoured drink, bottle",jevons
782,0.0,"cola flavoured drink, bottle",jevons
783,0.0,"dry spaghetti or pasta, 500g",CLIP
784,0.0,"dry spaghetti or pasta, 500g",CLIP
785,0.0,"dry spaghetti or pasta, 500g",CLIP
786,0.0,"dry spaghetti or pasta, 500g",CLIP
787,0.0,"dry spaghetti or pasta, 500g",CLIP
788,0.0,"dry spaghetti or pasta, 500g",CLIP
789,0.0,"dry spaghetti or pasta, 500g",CLIP
790,0.0,"dry spaghetti or pasta, 500g",CLIP
791,0.0,"dry spaghetti or pasta, 500g",CLIP
792,0.0,"dry spaghetti or pasta, 500g",CLIP
793,0.0,"fresh veg, onions, per kg",Jevons
794,0.0,"fresh veg, onions, per kg",Jevons
795,0.0,"fresh veg, onions, per kg",Jevons
796,0.0,"fresh veg, onions, per kg",Jevons
797,0.0,"fresh veg, onions, per kg",Jevons
798,0.0,"fresh veg, onions, per kg",Jevons
799,0.0,"fresh veg, onions, per kg",Jevons
800,0.0,"fresh veg, onions, per kg",Jevons
801,0.0,"fresh veg, onions, per kg",Jevons
802,0.0,"fresh veg, onions, per kg",Jevons
803,0.0,"fresh veg, tomatoes, per kg",CLIP
804,0.0,"fresh veg, tomatoes, per kg",CLIP
805,0.0,"fresh veg, tomatoes, per kg",CLIP
806,0.0,"fresh veg, tomatoes, per kg",CLIP
807,0.0,"fresh veg, tomatoes, per kg",CLIP
808,0.0,"fresh veg, tomatoes, per kg",CLIP
809,0.0,"fresh veg, tomatoes, per kg",CLIP
810,0.0,"fresh veg, tomatoes, per kg",CLIP
811,0.0,"fresh veg, tomatoes, per kg",CLIP
812,0.0,"fresh veg, tomatoes, per kg",CLIP
813,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
814,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
815,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
816,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
817,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
818,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
819,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
820,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
821,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
822,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
823,0.0,"fruit juice, not orange, eg. apple",CLIP
824,0.0,"fruit juice, not orange, eg. apple",CLIP
825,0.0,"fruit juice, not orange, eg. apple",CLIP
826,0.0,"fruit juice, not orange, eg. apple",CLIP
827,0.0,"fruit juice, not orange, eg. apple",CLIP
828,0.0,"fruit juice, not orange, eg. apple",CLIP
829,0.0,"fruit juice, not orange, eg. apple",CLIP
830,0.0,"fruit juice, not orange, eg. apple",CLIP
831,0.0,"fruit juice, not orange, eg. apple",CLIP
832,0.0,"fruit juice, not orange, eg. apple",CLIP
833,0.0,"grapes, per kg",Jevons
834,0.0,"grapes, per kg",Jevons
835,0.0,"grapes, per kg",Jevons
836,0.0,"grapes, per kg",Jevons
837,0.0,"grapes, per kg",Jevons
838,0.0,"grapes, per kg",Jevons
839,0.0,"grapes, per kg",Jevons
840,0.0,"grapes, per kg",Jevons
841,0.0,"grapes, per kg",Jevons
842,0.0,"grapes, per kg",Jevons
843,0.0,"lager, 4 bottles, 4.3%-7.5% abv",CLIP
844,0.0,"lager, 4 bottles, 4.3%-7.5% abv",CLIP
845,0.0,"lager, 4 bottles, 4.3%-7.5% abv",CLIP
846,0.0,"lager, 4 bottles, 4.3%-7.5% abv",CLIP
847,0.0,"lager, 4 bottles, 4.3%-7.5% abv",CLIP
848,0.0,"lager, 4 bottles, 4.3%-7.5% abv",CLIP
849,0.0,"lager, 4 bottles, 4.3%-7.5% abv",CLIP
850,0.0,"lager, 4 bottles, 4.3%-7.5% abv",CLIP
851,0.0,"lager, 4 bottles, 4.3%-7.5% abv",CLIP
852,0.0,"lager, 4 bottles, 4.3%-7.5% abv",CLIP
853,0.0,plain biscuits (eg. digestive),Jevons
854,0.0,plain biscuits (eg. digestive),Jevons
855,0.0,plain biscuits (eg. digestive),Jevons
856,0.0,plain biscuits (eg. digestive),Jevons
857,0.0,plain biscuits (eg. digestive),Jevons
858,0.0,plain biscuits (eg. digestive),Jevons
859,0.0,plain biscuits (eg. digestive),Jevons
860,0.0,plain biscuits (eg. digestive),Jevons
861,0.0,plain biscuits (eg. digestive),Jevons
862,0.0,plain biscuits (eg. digestive),Jevons
863,0.0,"potatoes, new",Jevons
864,0.0,"potatoes, new",Jevons
865,0.0,"potatoes, new",Jevons
866,0.0,"potatoes, new",Jevons
867,0.0,"potatoes, new",Jevons
868,0.0,"potatoes, new",Jevons
869,0.0,"potatoes, new",Jevons
870,0.0,"potatoes, new",Jevons
